provincia,descripcion
Álava,"Conocida por la calidad de sus vinos del municipio Rioja Alavesa, la provincia de Álava ofrece paisajes, historias, sabores e incluso un clima único que la diferencia de las demás provincias. Es sin duda el mejor lugar donde desconectar y perderse para volver a encontrarse."
Albacete,"Albacete es conocida por sus navajas y cuchillos, por históricas batallas y por sus aguas, como las Lagunas de Riudera. Estamos en una tierra  donde se conjugan la riqueza monumental y cultural, donde se une el modernismo con rincones de miles de años y una variada y singular naturaleza."
Alicante,"Llamada también Costa Blanca, es uno de los destinos turísticos más atractivos para los europeos. Aguas tranquilas, arenas blancas y finas, leyendas y misterios, palmerales y montañas asomándose al Mediterráneo te aguardan en la provincia de Alicante."
Almería,"Almería es el lugar perfecto para organizar viajes que combinen playas, actividades de montaña y visitas culturales a su patrimonio histórico-artístico, gracias a sus cielos casi siempre despejados y a sus más de 3.000 horas de sol al año. ¡El buen tiempo te espera!"
Asturias,"Asturias es la combinación perfecta de cultura, naturaleza y gastronomía. Mientras escuchas las gaitas de fondo puedes disfrutar del Parque Nacional de los Picos de Europa, los Lagos de Covadonga, las playas, la fabada asturiana, la sidra, el queso de Cabrales… Ven a descubrir este paraíso natural."
Ávila,"Ávila es una provincia abierta al mundo. En ella podemos pasar tanto por áreas montañosas como por valles profundos y ríos. Viajarás en el tiempo desde la prehistoria hasta el modernismo pasando por la época medieval. Sin duda, su naturaleza, gastronomía y cultura te tocarán el corazón."
Badajoz,"Esta inmensa extensión integra dehesas, bosques, embalses y pantanos. El visitante puede perderse en el tiempo entre su legado histórico romano y mudéjar. Encontrará también la tranquilidad que tanto se añora en las grandes ciudades. El corazón ibérico te espera con los brazos abiertos."
Barcelona,"Barcelona y sus comarcas te dan la bienvenida con mil y una probabilidades para que disfrutes de tu visita. El territorio te permite descubrir nuevas experiencias a través de sus costas, de los Pirineos y del centro de Cataluña. ¡Descubre que Barcelona es mucho más!"
Burgos,"Conoce el origen de la lengua castellana, el origen del primer europeo, origen de mitos y leyendas. Este territorio es también un destino importante de inversiones empresariales y también de tránsito de personas y mercancías. Sobre todo, Burgos es origen y destino del pasado y futuro."
Cáceres,"Al patrimonio histórico y cultural, que podemos encontrar en este territorio, hay que añadir una oferta gastronómica rica y variada y espacios naturales únicos, como el Parque Nacional de Monfragüe con sus aves o el Valle del Jerte con la floración de los cerezos."
Cádiz,"Cádiz es un lugar mágico donde ocurren cosas extraordinarias. Da igual la edad que tengas, si eres de playa o de montaña, si vas solo o acompañado, si prefieres turismo cultural o activo, porque  todo el mundo puede disfrutar de este territorio. ¿Y tú, crees en la magia?"
Cantabria,"Cantabria ofrece diversidad en la España verde ya que puedes  relajarte en playas solitarias y retiradas o urbanas y animadas, rozar el cielo en los Picos de Europa o retroceder en el tiempo con las Cuevas de Altamira. Disfruta de esta Cantabria infinita, pues un instante es para siempre."
Castellón,"Esta provincia te hará vibrar con sus sensaciones mediterráneas pues cuenta con playas de diversos tipos, con Parques Naturales y con una red de senderos de más de 1.000 km. Es la segunda provincia más montañosa de España y con su patrimonio viajarás desde la prehistoria hasta el siglo XXI."
Ciudad Real,"Esta provincia es conocida por sus famosos molinos de Criptana,  escenario de la batalla de Don Quijote. Pero Ciudad Real nos ofrece mucho más, como Espacios Naturales Protegidos, castillos y conjuntos monumentales o su Corral de Comedias. ¡Repetirás seguro!"
Córdoba,"En Córdoba encontramos ciudades donde la historia y el arte están totalmente presentes todo el tiempo y su patrimonio natural es uno de los más variados y ricos de toda la Península Ibérica. No hay nada mejor que relajarse con sus paisajes, revivir su historia y disfrutar de sus sabores."
La Coruña,"Conocida por ser el destino final del Camino de Santiago y por tener la ciudad “donde se acaba el mundo”, Finisterre. La Coruña ofrece muchos contrastes como tranquilas Rías Altas, un interior lleno de verdes bosques y ciudades llenas de historia dignas de visitar."
Cuenca,"Llanuras manchegas, la Serranía de Cuenca, ciudades encantadas, casas colgadas, dinosaurios, patrimonio histórico desde pinturas rupestres hasta arte contemporáneo, sabores únicos … Todo esto te espera en Cuenca y mucho más. ¡Descubre Cuenca!"
Gerona,"Podrás disfrutar de los Pirineos con cumbres nevadas y poblaciones rurales de alta montaña, de playas y calas con pueblos de pescadores en la Costa Brava y de sus ocho parques naturales protegidos. También viajarás en el tiempo desde la historia íbera hasta el surrealismo del propio Salvador Dalí."
Granada,"Esquiar en Sierra Nevada, revivir los últimos momentos del Al-Andalus en la península, relajarse en su Costa Tropical, aprender la cultura del flamenco… Esto es solo una parte de lo que puedes llegar a hacer en Granada. Conoce esta tierra moderna que conserva toda su esencia pura."
Guadalajara,"Descubrir Guadalajara es revivir el libro de Camilo José Cela, explorar los Pueblos de Arquitectura Negra, conectar con la naturaleza en sus espacios naturales protegidos, volver atrás en el tiempo con su patrimonio monumental y mucho más. Porque visitar Guadalajara es mucho más que un viaje."
Guipúzcoa,"Este territorio tan pequeño tiene una serie de características que lo convierten en un lugar con grandes atractivos. La costa se alterna con los acantilados, los edificios señoriales con arquitectura moderna, pero lo más distintivo son sus “pintxos”. Es un mundo en miniatura que debes explorar."
Huelva,"Huelva es el lugar idóneo para los curiosos pues podrás embarcar en las carabelas que descubrieron el Nuevo Mundo, viajar a Marte observando los paisajes del Río Tinto, descansar en playas vírgenes y explorar en la gran reserva natural de Europa, Doñana. ¡Saca el descubridor que llevas dentro!"
Huesca,"Uno de sus grandes atractivos es la parte montañosa de los Pirineos, con cumbres de más de 3.000 metros ideales para practicar cualquier tipo de turismo de montaña. Otras zonas de interés son los espacios naturales protegidos y su tramo del Camino de Santiago. Descubre la magia de Huesca."
Jaén,"Sus parques naturales, sus ciudades declaradas Patrimonio de la Humanidad, la historia que alberga este territorio y sobre todo sus millones de olivos hacen que Jaén sea el paraíso interior de España, pues naturaleza e historia están totalmente conectadas."
León,"Este lugar de cuento ofrece grandes atractivos durante todo el año: enormes montañas, una muralla milenaria, un tramo largo del Camino de Santiago e imponentes monumentos como la catedral gótica, la capilla sixtina románica y obras modernistas. Sin duda, León es tu próxima estación."
Lérida,"Esta provincia te hará vibrar con la explosión de colores de sus paisajes. El blanco de la nieve, el gris de la roca, el marrón de la tierra y de los troncos, el verde del bosque y de la hierba y el azul del agua y del cielo. ¡Disfruta de este espectáculo de colores!"
Lugo,"Lugo es la provincia desconocida para el turista pero alberga atractivos que sorprenderán a más de uno. Lo que caracteriza este lugar  es el Camino de Santiago y la variedad y singularidad de sus paisajes, pues el visitante puede cambiar cumbres por llanuras y montañas por playas."
Madrid,"La Comunidad de Madrid es conocida por su variedad cultural, paisajística y su turismo de compras. Más de 300 espacios escénicos y museos, incontables monumentos de gran valor histórico, miles de tiendas de firmas conocidas mundialmente e impresionantes parajes nos ofrece esta región."
Málaga,"Esta provincia está llena de rincones singulares que generan experiencias y sentimientos a todo aquel que la visita. Descubre un paisaje sorprendente desde el interior hasta su Costa del Sol, costumbres y tradiciones únicas, pueblos blancos con encanto y un sinfín de rincones singulares."
Murcia,"¿Te gusta la playa o prefieres la montaña? ¿Quieres relajarte o practicar deportes de aventura? ¿Y porqué no hacer de todo? La Región de Murcia te ofrece tantas oportunidades como ganas tengas, todo a tu alcance. ¡Murcia es el lugar y ahora es el momento!"
Navarra,"Navarra es un lugar heterogéneo, histórico y natural. Es una tierra de diversidad, de buena mesa, de tradiciones, con ambiente de fiesta y con caminos de historia. Es un lugar para descubrir y descansar, pero también para pasárselo bien y disfrutar."
Ourense,"Ourense te ofrece tratamientos terapéuticos y relajamiento, pues es famosa por sus aguas termales y tiene varios espacios naturales con naturaleza frondosa. También tiene mucho patrimonio histórico importante, como en Ribadavia, y fiestas de interés turístico nacional, como sus carnavales."
Palencia,"Esta zona que conserva el aire de típica capital castellana, es sin duda la provincia románica por excelencia ya que recoge una de las mayores concentraciones de este arte en toda Europa. Mientras volvemos al pasado recorriendo sus rincones, podemos degustar sus platos cárnicos más famosos."
Pontevedra,"Playas, montañas, acantilados, caminos, rutas, arte, sabores, cultura… Esto es una pequeña parte de lo que ofrecen las Rías Baixas. Relájate con sus aguas termales, pásalo en grande con sus fiestas, descubre la historia que alberga y camina por sus senderos entre frondosos bosques."
La Rioja,"Pensar en La Rioja es pensar en vino. Cientos de bodegas se abren para ti para mostrarte cómo se hace el buen vino. Pero esta provincia no tiene solo esto, tiene gastronomía, paisajes únicos en toda España, caminos y senderos, historia y cultura que se conserva desde la Edad Media."
Salamanca,"Salamanca es una provincia donde la naturaleza está muy presente. Desde los verdes campos hacia las crestas nevadas, pasando por los cañones del Duero o el Campo Charro. También tiene un legado patrimonial muy significativo declarado conjuntos históricos. Salamanca y sus emociones te esperan."
Segovia,"En estas tierras te adentrarás totalmente en la historia de la península. Podrás recorrer lugares con legado arqueológico, con villas amuralladas y castillos, pueblos del color de la piedra y diseños mudéjares, monumentos romanos y te sorprenderás con el lujo de los Reales Sitios."
Sevilla,"En esta provincia puedes practicar todo tipo de turismo que desees. Dos parques naturales únicos en el sur de Europa, más de 300 monumentos declarados como Bien de Interés Cultural, una gastronomía única y tradicional. En definitiva, aparte de todo lo que conoces, hay otra Sevilla."
Soria,"Este es un lugar que sorprende al viajero ya que es uno de esos territorios desconocidos en la península y cuando la visitas, te impacta por todos sus recursos naturales y monumentales que tiene. Porque Soria es un rincón que ni te lo imaginas."
Tarragona,"Conocida como Costa Dorada, ofrece al visitante unas playas de todo tipo desde pequeñas calas, acantilados e incluso con arena fina; fiestas y tradiciones reconocidas internacionalmente; turismo activo con todo tipo de actividades, espacios naturales y lugares llenos de historia y leyendas."
Teruel,"Teruel te invita a conocer todo sus recursos patrimoniales, sus lugares naturales de ensueño y su gastronomía con calidad certificada. Es un territorio lleno de historia, de amor, de misterio, rincones desconocidos, pero sobre todo es un lugar que te hará sentir sensaciones únicas."
Toledo,"Este territorio manchego hará vibrar todos tus sentidos. Uno de los cascos históricos más atractivos del mundo donde muestra la historia de tres culturas (judía, cristiana y musulmana), sierras, bosques, ríos, fiestas, tradiciones, gastronomía y muchos lugares desconocidos te aguardan en Toledo."
Valencia,"Cuando piensas en Valencia, tu mente te lleva a sus cálidas playas de arena fina mientras te relajas comiendo una paella, pero esta provincia tiene muchos más encantos. Caminos para recorrer, ocho parques naturales, castillos para descubrir y una gastronomía tan famosa que encanta a todo el mundo."
Valladolid,"Importante por su legado histórico, Valladolid brinda al visitante rincones mágicos llenos de castillos, zonas arqueológicas, torres, iglesias… Además de espacios naturales únicos, fiestas y tradiciones conocidas internacional y nacionalmente además de sus excelentes vinos con denominación de origen."
Vizcaya,"En este territorio se mezclan las costumbres más antiguas con las últimas tendencias de vanguardia, playas de arena fina con acantilados y bosques profundos con montañas altas. Todo esto se une para crear un lugar sorprendente e inolvidable"
Zamora,"Zamora es la desconocida perfecta, pues tiene tantas cosas que pocos conocen, que consigue sorprender hasta los propios zamoranos. Pero alberga, sin duda, todo lo necesario para ser tu destino favorito: espacios naturales, rutas culturales, legado histórico y denominaciones de origen."
Zaragoza,"Sus vestigios históricos son de varias culturas distintas, el Ebro divide el territorio creando unos paisajes muy singulares, el pintor español Francisco de Goya nació y se formó en estas tierras… Este territorio de encrucijada de caminos entre la Península y Europa, te ofrece todo esto y mucho más."
